Version,,,,,,Date,Buffer,Minimum (weeks of supply),,2,,,,,,,,
2,,,,,,46114,30,Maximum (weeks of supply),,30,,,,,,,,
Vendor,LastReceipt,Component,Description,Net,Unit,Lead Time,Lead,QOH,Average Week,Projected,DOS,SOQ,Due,Parent Part,Demand,Open Orders,Net & Orders,Notes from Special Cases
Vendor,#N/A,Component Merged,#N/A,,Item-unit,Delv-days,#VALUE!,Qty-on-hand,0,#VALUE!,,#N/A,Date Merged,Parent Merged,Total Demand,Open Qty,#VALUE!,
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,482.3312692,51.67785337,1000,46146,BWA9416A2,6,0,665,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,472.9978462,50.67785337,1000,46147,BWA9415A2,6,0,659,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,454.331,48.67785337,1000,46149,BWA9416A2,6,0,653,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,454.331,48.67785337,1000,46149,BWA9415A2,9,0,644,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,416.9973077,44.67785337,1000,46155,BWA9415A2,7,0,637,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,416.9973077,44.67785337,1000,46155,BWA9414A1,7,0,630,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,407.6638846,43.67785337,1000,46156,BWA9416A2,8,0,622,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,388.9970385,41.67785337,1000,46160,BWA9415A2,9,0,613,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,379.6636154,40.67785337,1000,46161,BWA9416A2,6,0,607,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,379.6636154,40.67785337,1000,46161,BWA9414A1,9,0,598,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,332.9965,35.67785337,1000,46168,BWA9415A2,13,0,585,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,323.6630769,34.67785337,1000,46169,BWA9416A2,8,0,577,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,323.6630769,34.67785337,1000,46169,BWA9414A1,11,0,566,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,314.3296538,33.67785337,1000,46170,BWA9315A1,2,0,564,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,314.3296538,33.67785337,1000,46170,BWA9416A2,6,0,558,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,314.3296538,33.67785337,1000,46170,BWA9414A1,8,0,550,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,286.3293846,30.67785337,1000,46175,BWA9415A2,11,0,539,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,267.6625385,28.67785337,1000,46177,BWA9416A2,8,0,531,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,267.6625385,28.67785337,1000,46177,BWA9414A1,8,0,523,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,239.6622692,25.67785337,1000,46182,BWA9415A2,10,0,513,Uniform Color 
