,,Demand Variability,,,Lead Time Variability,,,,,,,,,,,,,,
,,20%,,,10%,,,,,,,,,,,,,,
I/C,Description,2026 Demand, Weekly Demand ,Std Cost,Lead Time (weeks), SOQ (Qty) , Average Receipt Qty , Comments , LT Demand , Safety Stock , Min , Max , Average , Min $ , Max $ , Average $ ,Primary Cust, Primary Cust % ,Total Cust Count
PKG-0412,"4"" x 12"" 3mil Poly Bag S-5379",,,0.02813,,,,,,,,,,,,,,,
PKG-9235,"16""x16"" 3/16"" Bubble Wrap",,,105.78,,,,,,,,,,,,,,,
INS-0262,U NUT M8 X 1.25 #14327,,,0.1508,,,,,,,,,,,,,,,
INS-0812,PC-528 Powder Metal Insert,,,0.1117,,,,,,,,,,,,,,,
PKG-5027,29.75X14.25 DIVIDER ECT32C,,,0.36,,,,,,,,,,,,,,,
INS-0333,PC409 INSERT-SLOTTED FOR BWA-6633,,,0.1332,,,,,,,,,,,,,,,
NYL-5507,22HSP Black,,,2.6864,,,,,,,,,,,,,,,
PKG-0031,"24-1/8"" x 15-1/4"" x 3-1/4"" Box Lid",,,0.56631,,,,,,,,,,,,,,,
NYL-9517,Zytel 70G33L BK031 Nylon Resin PA66-GF33,,,1.97,,,,,,,,,,,,,,,
INS-0308,PC-403 Bolt Insert,,,0.1174,,,,,,,,,,,,,,,
PKG-1014,"10"" x 14"" 3mil Poly Bag S-3650",,,0.06136,,,,,,,,,,,,,,,
INS-0372,04390082 HOSE RETAINING CLIP,,,0.24,,,,,,,,,,,,,,,
PKG-5011,27 3/4 X 19 3/4  32 ECT PAD,,,0.36425,,,,,,,,,,,,,,,
INS-0808,PC-529 Powder Metal Insert,,,0.1132,,,,,,,,,,,,,,,
INS0509A1,1/4 - 18 NPTF Threaded Brass Insert,,,0.35478,,,,,,,,,,,,,,,
INS-0755,U-NUT GMX 245 SHROUD,,,0.10303,,,,,,,,,,,,,,,
CLR-6400,UN55162 CORNFLOWER BLUE COL,,,14.42,,,,,,,,,,,,,,,
INS-9708,Clip 304SS Plain EFC,,,0.14305,,,,,,,,,,,,,,,
INS-0245,PC 388 BWA PN 381382,,,0.1083,,,,,,,,,,,,,,,
INS-0208,M6 NUT PN 1325147 REV A (VAL-4982/3/4),,,0.0065,,,,,,,,,,,,,,,
PPR-8854,Washington Penn PPH2TF4 Black,,,0.703,,,,,,,,,,,,,,,
INS-0507,12646TN CLIP BHR P/N 31944,,,0.0876,,,,,,,,,,,,,,,
PKG-5026,30X14.5X13.5 RSC ECT32C SINGLE WALLED BO,,,1.161,,,,,,,,,,,,,,,
INS-0026,PC-494 Powder Metal insert,,,0.0884,,,,,,,,,,,,,,,
PKG-2000,27 3/4 X 19 3/4   12 PT. PAD,,,0.074,,,,,,,,,,,,,,,
PKG-4048HT,"40"" x 48"" Heat Treated Skid",,,7.25,,,,,,,,,,,,,,,
INS-0045,P00188-M61-519 NUT (52460824),,,0.025,,,,,,,,,,,,,,,
