,,Demand Variability,,,Lead Time Variability,,,,,,,,,,,,,,
,,20%,,,10%,,,,,,,,,,,,,,
I/C,Description,2026 Demand, Weekly Demand ,Std Cost,Lead Time (weeks), SOQ (Qty) , Average Receipt Qty , Comments , LT Demand , Safety Stock , Min , Max , Average , Min $ , Max $ , Average $ ,Primary Cust, Primary Cust % ,Total Cust Count
PPR-9243,Sequel 1440UV 7C45,,,1.384,,,,,,,,,,,,,,,
PPR-9030,Borealis PPGF30 Fibremod GB311U,,,1.146,,,,,,,,,,,,,,,
NYL-4400,STANYL TW341 NAT'L,,,4.53,,,,,,,,,,,,,,,
PPO-2100,NORYL GFN2-701 BK,,,3.9,,,,,,,,,,,,,,,
INS-0176,1225054 Short Handle Draincock,,,0.2475,,,,,,,,,,,,,,,
PKG-9261,15 x 15 Foam Pouch,,,0.306,,,,,,,,,,,,,,,
INS-0124,"Printer Ribbon 2.52"" x 984' Resin",,,10,,,,,,,,,,,,,,,
PPR-1600,PPH 4TF4 BK,,,0.839,,,,,,,,,,,,,,,
PCR-3900,PCR/LEXAN 141-601 RED,,,13.51,,,,,,,,,,,,,,,
INS8001A1,380692 Insert,,,0.09,,,,,,,,,,,,,,,
NYL-8865,Radilon N66MG40HSL Natural,,,1.84,,,,,,,,,,,,,,,
SBC-9505,K-Resin KR03,,,2.45,,,,,,,,,,,,,,,
INS-8627,Brass Insert (Valeo Part #873258Z),,,0.25,,,,,,,,,,,,,,,
INS-0211,#10-32 UNF BOLT,,,0.01175,,,,,,,,,,,,,,,
INS9235-T7,14101021 Rev C EPDM Seal AFT Cover small,,,56.95,,,,,,,,,,,,,,,
PPR-1100,PPH3TF2 BLK 20% TALC FILLED POLYPRO,,,1.114,,,,,,,,,,,,,,,
INS9284A1,M6 x 7.62mm Threaded Brass Insert,,,0.1235,,,,,,,,,,,,,,,
INS9235-T8,14101025 Rev D Seal AFT Cover Large,,,44.62,,,,,,,,,,,,,,,
INS-7435,#1250 White Ink A-A-208 Type 1,,,56.25,,,,,,,,,,,,,,,
PKG-4007,58X46X96X Polybag - 2 Mil.,,,3.3622,,,,,,,,,,,,,,,
INS-2550B,PN Label 25mm x 50mm Blue,,,0.01378,,,,,,,,,,,,,,,
ASA-9709,Luran S 777KBK25991,,,1.64,,,,,,,,,,,,,,,
ABS-1700,ABS/CYCOLAC MG47 BK4051,,,4.27,,,,,,,,,,,,,,,
PKG-0015,23 x 11 x 14 44C RSC Box,,,1.81466,,,,,,,,,,,,,,,
INS9511B1,MS16556-646 Pin NASM 16556,,,2.1,,,,,,,,,,,,,,,
CLR-9508,OC5UFB Omnicolor Sky Blue,,,17.08,,,,,,,,,,,,,,,
PKG-1100,RSC/L.B. 24 X 18 X 15,,,1.78694,,,,,,,,,,,,,,,
PKG-8041,RSC 31 11/16 x 20 x 14 1/2,,,5.87126,,,,,,,,,,,,,,,
INS-0309,PC-402 Bolt Insert,,,0.103,,,,,,,,,,,,,,,
CLR-9600,NC9SAF Black PC,,,14.92,,,,,,,,,,,,,,,
INS-0368,2100311500 Draincock and Washer Assy,,,0.3508,,,,,,,,,,,,,,,
NYL-8075,VYDYNE R533H NATURAL,,,3.59,,,,,,,,,,,,,,,
INS-8559,T957348 Grommet,,,0.04,,,,,,,,,,,,,,,
PKG-0030,"23-11/16"" x 14-11/16"" x 8-5/16"" Tray",,,1.16789,,,,,,,,,,,,,,,
PKG-0020,"1/8""x12""x550' Foam 100003397",,,26.813,,,,,,,,,,,,,,,
CLR-9460,OC7UFF Ominicolor Mid Grey,,,15.48,,,,,,,,,,,,,,,
INS8000A1,381520 Insert,,,0.09,,,,,,,,,,,,,,,
INS9511A1,13733541-1 Spring AFT Sabot,,,0.916,,,,,,,,,,,,,,,
PPA-1000,AMODEL AS4145 Blk,,,3.13,,,,,,,,,,,,,,,
NYL-4700,ZYTEL 408 BK-010 BLK HS,,,5.01,,,,,,,,,,,,,,,
INS0100A1,Square Collar A 8717,,,0.66,,,,,,,,,,,,,,,
INS-9540,INS 63/M5 / 8.25 AK,,,0.25,,,,,,,,,,,,,,,
INS-2550Y,PN Label 25mm x 50mm Yellow,,,0.0171,,,,,,,,,,,,,,,
INS-4600Y,"Box Label 4""x6"" - 1"" Core - Yellow",,,7,,,,,,,,,,,,,,,
ACE-8849,Iupital F20-03 Black,,,1.76,,,,,,,,,,,,,,,
PPR-1003,DexFlex 727 FP Black,,,1.561,,,,,,,,,,,,,,,
PCR-2700,PCR/LEXAN 141 CLEAR-111 NON-UV STABLE,,,3.75,,,,,,,,,,,,,,,
ACE-8930,"Delrin 500P, Natural",,,5,,,,,,,,,,,,,,,
NYL-28300,Celstran PA66-GF-40-02 ong Fiber,,,5.9,,,,,,,,,,,,,,,
PKG-15000,RSC 28 x 20 1/8 x 21,,,6.00719,,,,,,,,,,,,,,,
INS-0348,CLIP - ITW P/N 12500,,,0.07866,,,,,,,,,,,,,,,
CLR-6800,CLARIANT GYB-754 AB73620271,,,18.25,,,,,,,,,,,,,,,
INS-0373,RETAINING CLIP,,,0.70215,,,,,,,,,,,,,,,
CLR-0001,RC15315 Gray,,,4.32,,,,,,,,,,,,,,,
PKG-1000,RSC  28 X 20 X 21,,,1.797,,,,,,,,,,,,,,,
INS-0123,"Printer Ribbon 4.33"" x 985' Wax",,,4.42,,,,,,,,,,,,,,,
INS-0244,O-RING 1365214 BLACK 4.47X1.78MM,,,0.1581,,,,,,,,,,,,,,,
INS-4600W,"Box Label 4""x6"" - 1"" Core - White",,,3.69,,,,,,,,,,,,,,,
